,cards,free,games,goals,name,points,position,team,value
110,,True,,,Ödegaard,,Midfielder,Real Sociedad,"2,980,000"
111,0.0,True,0.0,0.0,Héctor Herrera,0.0,Midfielder,Atlético,"2,940,000"
112,4.0,True,32.0,1.0,Wass,135.0,Defender,Valencia,"2,920,000"
113,1.0,True,35.0,0.0,Masip,150.0,Goalkeeper,Valladolid,"2,900,000"
114,6.0,True,30.0,0.0,Gabriel Paulista,134.0,Defender,Valencia,"2,900,000"
115,18.0,False,32.0,3.0,Banega,156.0,Midfielder,Sevilla,"2,880,000"
116,0.0,False,0.0,0.0,Lago Junior,0.0,Forward,Mallorca,"2,880,000"
117,,True,,,Roberto Torres,,Midfielder,Osasuna,"2,860,000"
118,5.0,True,30.0,5.0,Juanmi,110.0,Forward,Betis,"2,830,000"
119,4.0,True,29.0,4.0,Tello,156.0,Midfielder,Betis,"2,830,000"
120,5.0,True,36.0,1.0,Maksimovic,155.0,Midfielder,Getafe,"2,820,000"
121,0.0,True,32.0,0.0,Asenjo,157.0,Goalkeeper,Villarreal,"2,790,000"
122,5.0,True,16.0,2.0,Diego Costa,39.0,Forward,Atlético,"2,770,000"
123,11.0,True,32.0,2.0,Cabrera,153.0,Defender,Getafe,"2,730,000"
124,9.0,True,34.0,3.0,Franco Vázquez,137.0,Midfielder,Sevilla,"2,710,000"
125,9.0,True,32.0,3.0,Thomas,152.0,Midfielder,Atlético,"2,680,000"
126,0.0,True,0.0,0.0,Éder Militão,0.0,Defender,Real Madrid,"2,680,000"
127,5.0,True,30.0,6.0,Joaquín,175.0,Midfielder,Betis,"2,630,000"
128,12.0,False,36.0,0.0,Damián Suárez,152.0,Defender,Getafe,"2,580,000"
129,4.0,True,31.0,1.0,Rubén Peña,174.0,Defender,Villarreal,"2,560,000"
130,1.0,True,20.0,1.0,Januzaj,105.0,Midfielder,Real Sociedad,"2,550,000"
131,1.0,True,12.0,1.0,Pedrosa,53.0,Defender,Espanyol,"2,550,000"
132,4.0,True,34.0,14.0,Charles,185.0,Forward,Eibar,"2,540,000"
133,3.0,True,14.0,0.0,Reguilón,81.0,Defender,Sevilla,"2,540,000"
134,10.0,True,35.0,1.0,Mandi,158.0,Defender,Betis,"2,460,000"
135,0.0,True,9.0,1.0,Pedro León,26.0,Midfielder,Eibar,"2,430,000"
136,5.0,True,31.0,4.0,Óscar Rodríguez,148.0,Midfielder,Leganés,"2,410,000"
137,0.0,False,0.0,0.0,Felipe Monteiro,0.0,Defender,Atlético,"2,410,000"
138,3.0,True,24.0,0.0,Dmitrovic,106.0,Goalkeeper,Eibar,"2,350,000"
139,10.0,True,35.0,2.0,Yuri,148.0,Defender,Athletic,"2,330,000"
140,10.0,True,35.0,1.0,Nacho Martínez,166.0,Defender,Valladolid,"2,320,000"
141,7.0,False,30.0,0.0,William Carvalho,125.0,Midfielder,Betis,"2,310,000"
142,0.0,True,0.0,0.0,Matías Vargas,0.0,Forward,Espanyol,"2,290,000"
143,5.0,True,34.0,0.0,Cuéllar,148.0,Goalkeeper,Leganés,"2,260,000"
144,4.0,True,34.0,1.0,Pere Pons,118.0,Midfielder,Alavés,"2,210,000"
145,8.0,True,33.0,1.0,Arambarri,138.0,Midfielder,Getafe,"2,200,000"
146,0.0,True,0.0,0.0,Ante Budimir,0.0,Forward,Mallorca,"2,120,000"
147,,True,,,Rubén García,,Midfielder,Osasuna,"2,070,000"
148,3.0,True,34.0,3.0,Pedraza,131.0,Defender,Betis,"2,070,000"
149,3.0,True,27.0,0.0,Rulli,117.0,Goalkeeper,Real Sociedad,"2,050,000"
150,5.0,True,30.0,1.0,Miramón,143.0,Defender,Levante,"2,030,000"
151,5.0,True,26.0,0.0,Coquelin,123.0,Midfielder,Valencia,"2,020,000"
152,7.0,True,19.0,3.0,Iborra,84.0,Midfielder,Villarreal,"2,000,000"
153,0.0,True,0.0,0.0,Alexander Isak,0.0,Forward,Real Sociedad,"1,950,000"
154,9.0,True,30.0,3.0,Jonathan Silva,150.0,Defender,Leganés,"1,940,000"
155,0.0,True,32.0,3.0,Ibai Gómez,131.0,Midfielder,Athletic,"1,930,000"
156,4.0,True,31.0,13.0,Roger,155.0,Forward,Levante,"1,900,000"
157,6.0,True,31.0,1.0,Bernardo,124.0,Defender,Espanyol,"1,890,000"
158,14.0,True,31.0,2.0,Funes Mori,133.0,Defender,Villarreal,"1,890,000"
159,0.0,True,0.0,0.0,Rodrygo Goes,0.0,Forward,Real Madrid,"1,890,000"
160,5.0,True,21.0,0.0,Diego Llorente,94.0,Defender,Real Sociedad,"1,860,000"
161,4.0,True,26.0,1.0,Nelson Semedo,103.0,Defender,Barcelona,"1,860,000"
162,10.0,True,30.0,0.0,Yeray,120.0,Defender,Athletic,"1,850,000"
163,9.0,True,35.0,1.0,Michel Herrero,151.0,Midfielder,Valladolid,"1,830,000"
164,0.0,True,0.0,0.0,Raúl Albiol,0.0,Defender,Villarreal,"1,810,000"
165,,False,,,Salva Sevilla,,Midfielder,Mallorca,"1,770,000"
166,1.0,True,5.0,0.0,Rafinha,13.0,Midfielder,Barcelona,"1,770,000"
167,,True,,,Vadillo,,Midfielder,Granada,"1,750,000"
168,0.0,True,9.0,1.0,Brahim Díaz,38.0,Forward,Real Madrid,"1,700,000"
169,6.0,True,32.0,4.0,Escalante,133.0,Midfielder,Eibar,"1,690,000"
170,4.0,True,14.0,0.0,Umtiti,52.0,Defender,Barcelona,"1,690,000"
171,6.0,True,35.0,0.0,Kiko Olivas,136.0,Defender,Valladolid,"1,690,000"
172,13.0,True,28.0,2.0,Tomás Pina,125.0,Midfielder,Alavés,"1,670,000"
173,4.0,False,24.0,0.0,Sandro,74.0,Forward,Valladolid,"1,650,000"
174,0.0,False,0.0,0.0,Renan Lodi,0.0,Defender,Atlético,"1,650,000"
175,10.0,False,28.0,3.0,Granero,133.0,Midfielder,Espanyol,"1,630,000"
