;defender_points;defender_values;defenders;forward_points;forward_values;forwards;goalkeeper_points;goalkeeper_values;goalkeepers;midfielder_points;midfielder_values;midfielders;total_points;total_value
229;[193.0, 170.0, 134.0, 73.0];[6390000, 3330000, 2870000, 200000];['Jesús Navas', 'Laguardia', 'Gabriel Paulista', 'Víctor Ruiz'];[428.0, 179.0, 134.0];[22790000, 3990000, 1490000];['Messi', 'Dembélé', 'Enes Ünal'];[150.0];[2810000];['Masip'];[195.0, 155.0, 125.0, 108.0, 118.0, 81.0];[5530000, 2790000, 2240000, 1300000, 660000, 290000];['Rakitic', 'Maksimovic', 'William Carvalho', 'Lobotka', 'Diop', 'Pione Sisto'];2243.0;56680000
230;[153.0, 124.0, 133.0, 141.0];[2690000, 1850000, 1840000, 1450000];['Cabrera', 'Bernardo', 'Funes Mori', 'Araujo'];[428.0, 209.0, 209.0];[22790000, 7540000, 6440000];['Messi', 'Williams', 'Jaime Mata'];[148.0];[2200000];['Cuéllar'];[194.0, 136.0, 152.0, 127.0, 104.0, 149.0];[4200000, 3040000, 2650000, 1460000, 990000, 380000];['Campaña', 'Casemiro', 'Thomas', 'Rubén Pérez', 'Lucas Vázquez', 'Moi Gómez'];2407.0;59520000
231;[152.0, 166.0, 119.0, 66.0];[2550000, 2240000, 900000, 150000];['Damián Suárez', 'Nacho Martínez', 'Sergi Gómez', 'Francis'];[209.0, 165.0, 185.0];[6440000, 5000000, 2500000];['Jaime Mata', 'Willian José', 'Charles'];[128.0];[3030000];['Vaclík'];[255.0, 221.0, 129.0, 175.0, 133.0, 109.0];[11420000, 9560000, 3020000, 2590000, 1660000, 1130000];['Parejo', 'Morales', 'Mikel Merino', 'Joaquín', 'Escalante', 'Toni Villa'];2212.0;52190000
232;[179.0, 153.0, 76.0, 92.0];[3200000, 2690000, 330000, 180000];['Cote', 'Cabrera', 'Jaume Costa', 'Antoñito'];[428.0, 209.0, 166.0];[22790000, 7540000, 5200000];['Messi', 'Williams', 'Portu'];[173.0];[3610000];['Pacheco'];[138.0, 162.0, 137.0, 100.0, 73.0, 149.0];[5080000, 4120000, 2670000, 690000, 590000, 380000];['Chukwueze', 'Muniain', 'Franco Vázquez', 'Roque Mesa', 'Boudebouz', 'Moi Gómez'];2235.0;59070000
233;[170.0, 158.0, 131.0, 73.0];[3330000, 2340000, 1940000, 200000];['Laguardia', 'Mandi', 'Pedraza', 'Víctor Ruiz'];[428.0, 244.0, 126.0];[22790000, 6560000, 1840000];['Messi', 'Jorge Molina', 'Bale'];[167.0];[4720000];['Ter Stegen'];[178.0, 150.0, 105.0, 127.0, 104.0, 119.0];[4790000, 3230000, 2380000, 1460000, 760000, 610000];['Raúl García', 'Melendo', 'Januzaj', 'Rubén Pérez', 'Rubén Pardo', 'Manu García'];2280.0;56950000
234;[123.0, 143.0, 150.0, 111.0];[3210000, 1990000, 1890000, 690000];['Sergi Roberto', 'Miramón', 'Jonathan Silva', 'Mario Gaspar'];[262.0, 209.0, 195.0];[11740000, 7540000, 6390000];['Luis Suárez', 'Williams', 'Maxi Gómez'];[167.0];[4720000];['Ter Stegen'];[195.0, 194.0, 154.0, 108.0, 109.0, 119.0];[5530000, 4200000, 3420000, 3340000, 1130000, 610000];['Rakitic', 'Campaña', 'Saúl', 'Illarramendi', 'Toni Villa', 'Manu García'];2239.0;56400000
235;[133.0, 119.0, 99.0, 73.0];[3220000, 900000, 630000, 200000];['Iñigo Martínez', 'Sergi Gómez', 'Sidnei', 'Víctor Ruiz'];[428.0, 246.0, 134.0];[22790000, 8320000, 1490000];['Messi', 'Ben Yedder', 'Enes Ünal'];[178.0];[3580000];['David Soria'];[194.0, 150.0, 131.0, 151.0, 72.0, 68.0];[4200000, 3230000, 1850000, 1790000, 1070000, 160000];['Campaña', 'Melendo', 'Ibai Gómez', 'Michel Herrero', 'Inui', 'Víctor Sánchez'];2176.0;53430000
236;[170.0, 111.0, 126.0, 68.0];[3330000, 3330000, 370000, 150000];['Laguardia', 'Giménez', 'Antunes', 'Postigo'];[262.0, 263.0, 239.0];[11740000, 10710000, 9660000];['Luis Suárez', 'Benzema', 'Borja Iglesias'];[157.0];[2560000];['Asenjo'];[171.0, 138.0, 164.0, 156.0, 138.0, 65.0];[3780000, 3590000, 3080000, 2790000, 2130000, 160000];['Darder', 'Kroos', 'Coutinho', 'Tello', 'Arambarri', 'Hernán Pérez'];2228.0;57380000
237;[151.0, 127.0, 131.0, 112.0];[4960000, 4020000, 1940000, 1300000];['Sergio Ramos', 'Carvajal', 'Pedraza', 'Zaldua'];[428.0, 244.0, 126.0];[22790000, 6560000, 1840000];['Messi', 'Jorge Molina', 'Bale'];[157.0];[2560000];['Asenjo'];[153.0, 175.0, 127.0, 113.0, 93.0, 81.0];[3800000, 2590000, 1460000, 1270000, 410000, 290000];['Orellana', 'Joaquín', 'Rubén Pérez', 'Guardado', 'Fran Beltrán', 'Pione Sisto'];2218.0;55790000
238;[200.0, 179.0, 150.0, 66.0];[6880000, 3200000, 1890000, 150000];['Jordi Alba', 'Cote', 'Jonathan Silva', 'Francis'];[263.0, 246.0, 185.0];[10710000, 8320000, 2500000];['Benzema', 'Ben Yedder', 'Charles'];[160.0];[2980000];['Diego López'];[215.0, 174.0, 148.0, 133.0, 118.0, 54.0];[6860000, 3360000, 2320000, 1590000, 660000, 390000];['Cazorla', 'Vidal', 'Óscar Rodríguez', 'Granero', 'Diop', 'Fede Valverde'];2291.0;51810000
